	S33	S23	S120	S100	S153	S148	S30	S171	S127	S39	S121	S101	S135	S98
S33	0.0	1.0080991498385972	1.1571384053767508	1.5735500632153012	2.3702602840392983	0.9701284947323412	1.0766875584315607	0.9673610371553237	0.41332654481629466	0.8888283695943627	1.3478863793864924	3.123942177131026	2.133426442630508	0.6330164267500059
S23	1.0080991498385972	0.0	0.30186489741638667	2.357202122225528	1.870453430486124	0.3590319249718203	0.3573982724126394	0.7544118018661855	0.8030361201436698	1.5543170677628277	2.025234444514013	3.712227248248538	1.2046382862909815	0.7459372514885884
S120	1.1571384053767508	0.30186489741638667	0.0	2.3630865000912356	2.103844550917383	0.3162072222321911	0.23456377317404947	1.0553218618617697	0.9805794969748791	1.5467089193161654	2.0040659950411315	3.9970896005080254	1.125159586928697	0.8092731650890514
S100	1.5735500632153012	2.357202122225528	2.3630865000912356	0.0	3.904636114656966	2.1102827463619724	2.2048347966303763	2.488437682300801	1.7191083408572296	0.8258853786825613	0.40130367565147945	3.767717218015178	3.4594850372007255	1.6515766824803677
S153	2.3702602840392983	1.870453430486124	2.103844550917383	3.904636114656966	0.0	2.200654696067253	2.195045261780972	1.4218181182454395	2.21208220708505	3.206060265637705	3.665982089456285	3.2697474809117586	1.8626373887183714	2.421150024135819
S148	0.9701284947323412	0.3590319249718203	0.3162072222321911	2.1102827463619724	2.200654696067253	0.0	0.11586981246980348	1.0043680553836003	0.7339470943925285	1.3126082383832158	1.7566402013419102	3.8405349621696065	1.426899466487813	0.5134519275974339
S30	1.0766875584315607	0.3573982724126394	0.23456377317404947	2.2048347966303763	2.195045261780972	0.11586981246980348	0.0	1.0587396152844075	0.8472365710674178	1.4046187933231171	1.8446207003616781	3.934793182505951	1.3337592380388257	0.6255156949048346
S171	0.9673610371553237	0.7544118018661855	1.0553218618617697	2.488437682300801	1.4218181182454395	1.0043680553836003	1.0587396152844075	0.0	0.798172996588125	1.7881524955343668	2.2448050937408275	3.0047269184936023	1.645729490481686	1.0518409214206346
S127	0.41332654481629466	0.8030361201436698	0.9805794969748791	1.7191083408572296	2.21208220708505	0.7339470943925285	0.8472365710674178	0.798172996588125	0.0	1.0228906579130312	1.4588389535130066	3.1787237547483524	2.0009541273089573	0.37887387503363007
S39	0.8888283695943627	1.5543170677628277	1.5467089193161654	0.8258853786825613	3.206060265637705	1.3126082383832158	1.4046187933231171	1.7881524955343668	1.0228906579130312	0.0	0.49799819766872366	3.691852791719389	2.634248848662505	0.8953450885293668
S121	1.3478863793864924	2.025234444514013	2.0040659950411315	0.40130367565147945	3.665982089456285	1.7566402013419102	1.8446207003616781	2.2448050937408275	1.4588389535130066	0.49799819766872366	0.0	3.8664485337878727	3.1010909316707775	1.3279550565931832
S101	3.123942177131026	3.712227248248538	3.9970896005080254	3.767717218015178	3.2697474809117586	3.8405349621696065	3.934793182505951	3.0047269184936023	3.1787237547483524	3.691852791719389	3.8664485337878727	0.0	4.576427922940788	3.5442420749330363
S135	2.133426442630508	1.2046382862909815	1.125159586928697	3.4594850372007255	1.8626373887183714	1.426899466487813	1.3337592380388257	1.645729490481686	2.0009541273089573	2.634248848662505	3.1010909316707775	4.576427922940788	0.0	1.9185827414697407
S98	0.6330164267500059	0.7459372514885884	0.8092731650890514	1.6515766824803677	2.421150024135819	0.5134519275974339	0.6255156949048346	1.0518409214206346	0.37887387503363007	0.8953450885293668	1.3279550565931832	3.5442420749330363	1.9185827414697407	0.0
