	S193	S19	S155	S132	S15	S24	S27	S14	S29	S21	S172	S134	S184	S82	S10
S193	0.0	0.9444109221827327	0.4700559936004689	0.45020105232823876	1.3883204065154067	1.2714215461099798	1.7946213834324474	1.0411949559849778	2.519809018907594	2.1102708747858108	1.1480071088788106	1.327163308718771	1.6149541383456463	3.5752408832475435	1.4175720846553277
S19	0.9444109221827327	0.0	0.992940694706798	0.7504103759377034	2.307466496362723	0.7309556116251468	1.5837854431254808	0.8945902322926178	2.0433613737206615	2.9722810036556404	1.3462071566769922	0.4965793109136299	1.7747570937532586	4.049976706899932	0.5262935341632196
S155	0.4700559936004689	0.992940694706798	0.0	0.24297724645133678	1.6373887226590869	1.5296789708523122	2.1903814566104067	1.3841365719875902	2.849605687703447	2.018117107843805	1.596544764605907	1.4685089387411654	2.072037503703805	4.029865020728307	1.4154525338852917
S132	0.45020105232823876	0.7504103759377034	0.24297724645133678	0.0	1.7720324388044595	1.3122101160760131	2.014088145733483	1.2125529110391473	2.642264299673229	2.2455433617262823	1.479972875388164	1.2279069023603264	1.9579159048342458	4.012020733704307	1.1861756418517353
S15	1.3883204065154067	2.307466496362723	1.6373887226590869	1.7720324388044595	0.0	2.419915977272351	2.4923532440422895	2.0514255825288306	3.35165830543232	1.4272871813734778	1.7334662744073708	2.6048901225937002	1.9599867035459582	2.8998368167331035	2.782147946868653
S24	1.2714215461099798	0.7309556116251468	1.5296789708523122	1.3122101160760131	2.419915977272351	0.0	0.9259175734954223	0.45449428430673305	1.344473622424815	3.3748718915744846	0.937892289991736	0.44912180795007356	1.256121960062691	3.5873812974342876	0.8132422574447286
S27	1.7946213834324474	1.5837854431254808	2.1903814566104067	2.014088145733483	2.4923532440422895	0.9259175734954223	0.0	0.9234640059467253	0.8812261065696259	3.7069589789427146	0.798745576863109	1.2823329038856015	0.6670364452975616	2.8488394062999745	1.7262510506475233
S14	1.0411949559849778	0.8945902322926178	1.3841365719875902	1.2125529110391473	2.0514255825288306	0.45449428430673305	0.9234640059467253	0.0	1.5282446491781543	3.0886765287228477	0.5904631276759218	0.8400215454317719	0.995208714411943	3.2759521298773304	1.1049617864919261
S29	2.519809018907594	2.0433613737206615	2.849605687703447	2.642264299673229	3.35165830543232	1.344473622424815	0.8812261065696259	1.5282446491781543	0.0	4.534697461327689	1.6231694471123748	1.6011744636020242	1.4840559836163325	3.368937204220726	1.957916574310508
S21	2.1102708747858108	2.9722810036556404	2.018117107843805	2.2455433617262823	1.4272871813734778	3.3748718915744846	3.7069589789427146	3.0886765287228477	4.534697461327689	0.0	2.9563022375435986	3.4058184742348065	3.2816240295013266	4.234876931554009	3.4307139237073523
S172	1.1480071088788106	1.3462071566769922	1.596544764605907	1.479972875388164	1.7334662744073708	0.937892289991736	0.798745576863109	0.5904631276759218	1.6231694471123748	2.9563022375435986	0.0	1.309393299051869	0.48872622330976334	2.717896033054611	1.6570296942516132
S134	1.327163308718771	0.4965793109136299	1.4685089387411654	1.2279069023603264	2.6048901225937002	0.44912180795007356	1.2823329038856015	0.8400215454317719	1.6011744636020242	3.4058184742348065	1.309393299051869	0.0	1.645787045045262	3.9744721076386584	0.512461417374596
S184	1.6149541383456463	1.7747570937532586	2.072037503703805	1.9579159048342458	1.9599867035459582	1.256121960062691	0.6670364452975616	0.995208714411943	1.4840559836163325	3.2816240295013266	0.48872622330976334	1.645787045045262	0.0	2.333244396325344	2.0444868660335365
S82	3.5752408832475435	4.049976706899932	4.029865020728307	4.012020733704307	2.8998368167331035	3.5873812974342876	2.8488394062999745	3.2759521298773304	3.368937204220726	4.234876931554009	2.717896033054611	3.9744721076386584	2.333244396325344	0.0	4.36458995228463
S10	1.4175720846553277	0.5262935341632196	1.4154525338852917	1.1861756418517353	2.782147946868653	0.8132422574447286	1.7262510506475233	1.1049617864919261	1.957916574310508	3.4307139237073523	1.6570296942516132	0.512461417374596	2.0444868660335365	4.36458995228463	0.0
