	S194	S93	S73	S144	S123	S161	S180	S154	S139	S170	S195	S185	S53	S186	S75	S48	S136	S111	S179	S106	S176	S124	S40	S92	S151	S62	S20	S42	S188	S80	S125	S183	S129	S137
S194	0.0	0.22221985527841084	1.3388717715846838	0.9507907194032141	0.32190000703598	1.886305156424963	1.0088452761999394	1.4674793737503522	1.5305081811997223	0.578322534142944	1.1595468555761625	0.49722321557006005	2.134432148236559	0.3495583744822518	1.2014062876802454	2.680564176254611	3.5275883321747163	0.6905713194020677	2.181145327043807	1.3947817720975302	0.42214520163778074	1.371737766715876	2.0518429798656155	0.7891066341300433	0.3537152862197052	1.7522306123612434	1.4528345963573708	1.4327450188161461	0.6006395159069519	1.2971720527208552	1.4777910578421902	1.6182871762976947	3.038755232208153	0.7406216620408718
S93	0.22221985527841084	0.0	1.2895566313516142	0.8187525370608841	0.3868798451501984	1.9063491431840132	1.1166242468301968	1.4649563909661685	1.4176427042559019	0.758584869496868	1.0825367943767827	0.6320730355296735	2.0194383902694315	0.3022429210269722	1.2990034933316035	2.5779643487632367	3.4588585925616244	0.5884047234989264	2.0963010868696026	1.3367608077334885	0.4084436682371503	1.3518811582563484	2.0118297231630358	0.9319476147034281	0.5402267194502738	1.7613145895967108	1.3280066965560464	1.3209297776695803	0.7729448764582647	1.435669422089931	1.5433128516022758	1.5393096822395513	2.9427506340294873	0.8932057066382021
S73	1.3388717715846838	1.2895566313516142	0.0	1.6184400548536622	1.6393582930194908	3.158754936084447	2.3409712710656083	0.48654768320743835	1.172501366446248	1.6666419306509088	0.3746982072809076	1.2785231623814954	1.6187965524052952	1.462519795893152	1.37545845685073	1.832277178588337	4.020247922002875	0.7437172448016481	1.1257120883870775	2.397187969115432	1.6684516913673095	2.542809377424617	0.7260496836921109	2.074234869028196	1.5262192373768328	1.036067689716296	1.1009713386895252	1.2162590459469924	1.6058913026102444	2.5722680323985516	2.80332342540123	2.2287386548138355	3.3289231883032824	1.8921694239270177
S144	0.9507907194032141	0.8187525370608841	1.6184400548536622	0.0	0.8858309104113737	1.7685843774998757	1.4054264310889988	1.9734363234591996	1.0458900512286835	1.4998240271350873	1.2709188925338768	1.4275001510625982	1.5480497406507412	0.6227925769329414	2.0892929428614617	2.2259447188774377	2.677109265235673	0.9352610974424161	1.9761800020947446	0.8176729047433413	0.7429420715724357	1.0748002868292788	2.3039101484627653	1.4972963236145547	1.2818483032933652	2.3934870493827876	0.9903966982822039	0.9080069429577646	1.54097473538418	1.9247526658227803	1.6330532479849686	0.7687027912020828	2.13412482031985	1.6009070753788648
S123	0.32190000703598	0.3868798451501984	1.6393582930194908	0.8858309104113737	0.0	1.5659305684927751	0.7330565034012678	1.7877344808475992	1.6694270376047364	0.6538630406957215	1.4268629169006806	0.7465528779278614	2.2584745262154287	0.30309609032526613	1.4521857281396373	2.8545876176130576	3.367063614694429	0.9456803084035691	2.412835640210536	1.1465751391838852	0.16604708062607698	1.070887191701869	2.359080944366811	0.6317782727031883	0.4676243044256912	2.059237046734186	1.5972341049257524	1.5531439186543503	0.7184617948665427	1.1107189194745428	1.1694517341919366	1.491476800749818	2.934739598191988	0.7203967727423626
S161	1.886305156424963	1.9063491431840132	3.158754936084447	1.7685843774998757	1.5659305684927751	0.0	1.053413862554256	3.3513678970682736	2.787866729860635	1.9602165114983094	2.883237986296122	2.246022315549339	3.2423402616602677	1.696315581783836	2.89500974786056	3.9430153582296796	2.907365606887035	2.4260572848512076	3.7136063976196207	1.064267736787941	1.5028294972004246	0.6986043718309359	3.8829887979277706	1.5104506454577216	1.9055610854879195	3.608053999702131	2.7491138326562736	2.642319078657727	2.0603289528659072	1.420115009104905	0.5647891834147271	1.753626459031927	2.863614716950594	1.8380642976985408
S180	1.0088452761999394	1.1166242468301968	2.3409712710656083	1.4054264310889988	0.7330565034012678	1.053413862554256	0.0	2.4390541863040704	2.308954101821119	0.9299765696453918	2.139404305634766	1.2586062803981726	2.8673922213856886	0.9815882023038877	1.8765985586628586	3.4962048822331617	3.4168661107249827	1.6714481648402317	3.0982844929760898	1.1944149249252372	0.7785728406174345	0.8934055094794799	3.048397888885789	0.48852944827766187	0.913455319428328	2.650851530577111	2.25489768561288	2.1782256630174732	1.033542867736945	0.5945471477392715	0.525873811171469	1.7568846649117875	3.155898109461956	0.8219326115896197
S154	1.4674793737503522	1.4649563909661685	0.48654768320743835	1.9734363234591996	1.7877344808475992	3.3513678970682736	2.4390541863040704	0.0	1.6507585803412215	1.6298872196391585	0.8310264459609384	1.2340024236587	2.097755862385851	1.6841526528338382	1.0732446442950188	2.257840749592833	4.454658352931613	1.042365013675944	1.5194411602372215	2.7048160371856693	1.8563650680118562	2.790494900656991	0.7374550672431347	2.0942249651840936	1.5486419547296486	0.5824561159408856	1.5795701282413925	1.6846804595200273	1.5474871733972082	2.560466949099089	2.9358935432470847	2.6226451852268506	3.787689463118728	1.85086981125513
S139	1.5305081811997223	1.4176427042559019	1.172501366446248	1.0458900512286835	1.6694270376047364	2.787866729860635	2.308954101821119	1.6507585803412215	0.0	2.0795659642567976	0.8333392353044671	1.8278226717106225	0.6064118135937224	1.3705679099857595	2.283685267828195	1.2005400037464784	2.9135737073107433	0.9956143813592285	0.9751610610114929	1.7879344825224066	1.5937892752596128	2.0936012567874895	1.6358052457044805	2.2810499750775315	1.8655253074535267	2.1938182632526795	0.1353342375609421	0.14775687274227367	2.0768118908677895	2.7647629681534096	2.6220244210194474	1.3266623973840492	2.17852734591285	2.2695229727017567
S170	0.578322534142944	0.758584869496868	1.6666419306509088	1.4998240271350873	0.6538630406957215	1.9602165114983094	0.9299765696453918	1.6298872196391585	2.0795659642567976	0.0	1.5922079233252855	0.40341224355766286	2.6833409981846574	0.8775423031889371	0.9476210693851813	3.191592854230145	3.9783127191622167	1.1765086097155657	2.6354691930188348	1.7717459917116454	0.8180813144225993	1.6249929219764376	2.3161773065610176	0.4924959675900093	0.22472541754964767	1.7581754276733441	2.00486858344618	1.9890904177378246	0.10454596600527565	0.930698609121074	1.4452524666505329	2.112685419255462	3.551813756374527	0.2512452942885478
