	S131	S90	S181	S83	S177	S79	S178	S63	S116	S187	S149	S4	S65	S115	S91	S58	S1	S182	S109	S141	S18
S131	0.0	0.9667473625861092	1.789419262210504	1.3630832810810463	0.7103322110844071	2.105679189685486	1.4415717878475582	2.325586825608817	0.5408830308947177	1.5018322662880135	0.9528630921762766	1.1519234559003944	0.7109890431312971	1.9304500072329027	3.9077574447519696	2.0103424957108627	1.1355304713631178	1.7910084280026117	0.9153122840134172	1.9754270149860105	1.627034840603927
S90	0.9667473625861092	0.0	0.9706503798779726	1.2083503117115109	1.6196693143518288	1.5354951258648633	1.9593216065176746	1.4425163607570344	0.6898341826544863	1.6429791918147154	1.837150566240138	1.8345137063278953	0.5690273144875955	1.2419734132244054	4.2907034476889185	1.0971816351698331	1.9722089756000138	0.8920319290527892	0.1276869846599947	1.6061985544349013	0.815353368164911
S181	1.789419262210504	0.9706503798779726	0.0	1.1689079329849708	2.3049196894062063	0.8117052914955383	2.236857334444679	0.5867203293289853	1.6198213151102954	1.6884085466384384	2.6927313230488856	2.7400225974434735	1.1715088887366034	0.39632917248981214	4.193782503251603	0.6536144590561683	2.87608901506032	0.36549811406978444	0.9474204754908304	1.1103963124600216	0.17583171067871092
S83	1.3630832810810463	1.2083503117115109	1.1689079329849708	0.0	1.536879103841125	0.9228452599668348	1.1352220038019007	1.7257000307094732	1.5782931819402155	0.5314647755510169	2.2490110431112957	2.509685588257949	0.7845616220884417	1.0105476249131138	3.15083462064113	1.764559806649582	2.463105665697185	1.446682257038061	1.1346429323236404	0.6490537946006382	1.0522939763057648
S177	0.7103322110844071	1.6196693143518288	2.3049196894062063	1.536879103841125	0.0	2.4186182010167716	1.0359033958138832	2.87306655977373	1.2421733323219242	1.4166403443534055	0.9023519208455192	1.3599310625962147	1.1926450093697831	2.347091189718851	3.4220180666233726	2.632113172664799	1.1245482263252966	2.381274919992076	1.5528061240813906	2.1690351460859003	2.146598348186221
S79	2.105679189685486	1.5354951258648633	0.8117052914955383	0.9228452599668348	2.4186182010167716	0.0	1.9920086167591604	1.1236880864759649	2.12982479324628	1.3277706825501814	3.0294724456168645	3.2006275418092427	1.4308218889745328	0.43545870579630497	3.5641251620677026	1.4397295632571718	3.240340322131546	1.175920335787626	1.4887918449976276	0.43605739453761366	0.8415387546077111
S178	1.4415717878475582	1.9593216065176746	2.236857334444679	1.1352220038019007	1.0359033958138832	1.9920086167591604	0.0	2.8033874840235975	1.9294184651593282	0.6924900379137948	1.9232672387129297	2.3717386287675324	1.4041397370366955	2.100115159368546	2.4671897498711597	2.7619115454355936	2.159785871086443	2.457946512424478	1.8709108380159727	1.6121420820206183	2.1093976231492153
S63	2.325586825608817	1.4425163607570344	0.5867203293289853	1.7257000307094732	2.87306655977373	1.1236880864759649	2.8033874840235975	0.0	2.0805100578366402	2.2348043525047716	3.1950761887325743	3.1857605454554188	1.7413123328608544	0.7660075829916752	4.635891121755814	0.5529344099332841	3.3692157708312025	0.5660938845155165	1.4409198880266194	1.5219783971829923	0.749711895222565
S116	0.5408830308947177	0.6898341826544863	1.6198213151102954	1.5782931819402155	1.2421733323219242	2.12982479324628	1.9294184651593282	2.0805100578366402	0.0	1.8589394785535227	1.1923229800699853	1.144689477390026	0.8128121483027804	1.8621372190767254	4.3819735236491955	1.6723750970905593	1.3078397133245439	1.5165066844584114	0.6813745456874745	2.1100297163456982	1.4694960761889846
S187	1.5018322662880135	1.6429791918147154	1.6884085466384384	0.5314647755510169	1.4166403443534055	1.3277706825501814	0.6924900379137948	2.2348043525047716	1.8589394785535227	0.0	2.254246349614523	2.6090138979815056	1.1249932190923093	1.4947424778666978	2.659876899332233	2.2816872034011326	2.4817384483106895	1.9653505976057963	1.5618275885199848	0.936878727979897	1.5773546922605883
S149	0.9528630921762766	1.837150566240138	2.6927313230488856	2.2490110431112957	0.9023519208455192	3.0294724456168645	1.9232672387129297	3.1950761887325743	1.1923229800699853	2.254246349614523	0.0	0.528079093570417	1.6634633026647552	2.8467234616560733	4.2552590733779	2.819432011375312	0.3168744309057169	2.6468952607440057	1.7965941771882665	2.8695920087840086	2.540076992065322
S4	1.1519234559003944	1.8345137063278953	2.7400225974434735	2.509685588257949	1.3599310625962147	3.2006275418092427	2.3717386287675324	3.1857605454554188	1.144689477390026	2.6090138979815056	0.528079093570417	0.0	1.8220536120461077	2.9586787256098113	4.754102146537235	2.744599509027396	0.4438506726233139	2.6247045900109067	1.818226063416082	3.1068694664349454	2.595083333113102
S65	0.7109890431312971	0.5690273144875955	1.1715088887366034	0.7845616220884417	1.1926450093697831	1.4308218889745328	1.4041397370366955	1.7413123328608544	0.8128121483027804	1.1249932190923093	1.6634633026647552	1.8220536120461077	0.0	1.2770528167694355	3.7572946932893077	1.5325648441316313	1.8365700952062372	1.2581113527822396	0.5073360749197044	1.3432951535238509	1.0000968834238306
S115	1.9304500072329027	1.2419734132244054	0.39632917248981214	1.0105476249131138	2.347091189718851	0.43545870579630497	2.100115159368546	0.7660075829916752	1.8621372190767254	1.4947424778666978	2.8467234616560733	2.9586787256098113	1.2770528167694355	0.0	3.882779326101585	1.0185573562966665	3.051654676121777	0.7548251565510218	1.1976844657860009	0.7694412811873224	0.4649483664745835
S91	3.9077574447519696	4.2907034476889185	4.193782503251603	3.15083462064113	3.4220180666233726	3.5641251620677026	2.4671897498711597	4.635891121755814	4.3819735236491955	2.659876899332233	4.2552590733779	4.754102146537235	3.7572946932893077	3.882779326101585	0.0	4.818791968553991	4.485876127465276	4.513991191534942	4.199864173325515	3.1510768242734435	4.130566645818347
S58	2.0103424957108627	1.0971816351698331	0.6536144590561683	1.764559806649582	2.632113172664799	1.4397295632571718	2.7619115454355936	0.5529344099332841	1.6723750970905593	2.2816872034011326	2.819432011375312	2.744599509027396	1.5325648441316313	1.0185573562966665	4.818791968553991	0.0	2.9700699252907703	0.3181740771242455	1.1139890055708717	1.7625974974953347	0.7247655022644425
S1	1.1355304713631178	1.9722089756000138	2.87608901506032	2.463105665697185	1.1245482263252966	3.240340322131546	2.159785871086443	3.3692157708312025	1.3078397133245439	2.4817384483106895	0.3168744309057169	0.4438506726233139	1.8365700952062372	3.051654676121777	4.485876127465276	2.9700699252907703	0.0	2.810997108350157	1.9501475562412165	3.09207825965257	2.719447752492879
S182	1.7910084280026117	0.8920319290527892	0.36549811406978444	1.446682257038061	2.381274919992076	1.175920335787626	2.457946512424478	0.5660938845155165	1.5165066844584114	1.9653505976057963	2.6468952607440057	2.6247045900109067	1.2581113527822396	0.7548251565510218	4.513991191534942	0.3181740771242455	2.810997108350157	0.0	0.8927978647894627	1.4682804305358896	0.40987588026646
S109	0.9153122840134172	0.1276869846599947	0.9474204754908304	1.1346429323236404	1.5528061240813906	1.4887918449976276	1.8709108380159727	1.4409198880266194	0.6813745456874745	1.5618275885199848	1.7965941771882665	1.818226063416082	0.5073360749197044	1.1976844657860009	4.199864173325515	1.1139890055708717	1.9501475562412165	0.8927978647894627	0.0	1.542629600038417	0.7912331454703183
