	S89	S13	S169	S57	S164	S103	S112	S84	S11	S43	S47	S87	S7
S89	0.0	2.2923916222792053	1.319853063437949	1.476351209979288	2.307868434830806	1.8618248233316783	2.2292169173922227	1.2595304358838009	3.225228403882882	3.335824118627679	1.3202567132798164	0.38677299942794174	2.667627361260254
S13	2.2923916222792053	0.0	1.0828528781880944	0.9130003270680412	0.23952024708520997	0.8647181513722171	0.23057901152385368	1.2221431066877855	2.2287936218492903	2.9037945179676377	2.9201533197338616	2.6412557194482504	0.4339701612961574
S169	1.319853063437949	1.0828528781880944	0.0	0.21226658920135713	1.1395281417266918	1.0850405714032694	1.0985167311857607	0.1569232666545306	2.236643442070143	2.613048477889993	1.909859930666646	1.6812595414736164	1.4877702692950172
S57	1.476351209979288	0.9130003270680412	0.21226658920135713	0.0	1.0006282858198956	1.0286702156698788	0.9489561566877063	0.3396909425678666	2.120059137324472	2.5539966141009756	2.0253694772400794	1.8458194739434015	1.333183839274796
S164	2.307868434830806	0.23952024708520997	1.1395281417266918	1.0006282858198956	0.0	0.7363546252885673	0.16322698761597543	1.2823092336157063	2.442049042749769	3.106595575642923	3.024060021697112	2.639063570494037	0.36946202086896357
S103	1.8618248233316783	0.8647181513722171	1.0850405714032694	1.0286702156698788	0.7363546252885673	0.0	0.655155513982751	1.231540453450594	2.9512719670523677	3.514089335578972	2.8386533041183895	2.142851940047817	1.0190182859674348
S112	2.2292169173922227	0.23057901152385368	1.0985167311857607	0.9489561566877063	0.16322698761597543	0.655155513982751	0.0	1.2480438888025502	2.447599701109107	3.1054695623758	2.9569094732295427	2.563317033336911	0.4449030248811633
S84	1.2595304358838009	1.2221431066877855	0.1569232666545306	0.3396909425678666	1.2823092336157063	1.231540453450594	1.2480438888025502	0.0	2.2156979473640295	2.54348141360071	1.7844776826278146	1.6196608458373833	1.6273732651583699
S11	3.225228403882882	2.2287936218492903	2.236643442070143	2.120059137324472	2.442049042749769	2.9512719670523677	2.447599701109107	2.2156979473640295	0.0	0.8758455607423544	2.8299122162701758	3.591866562959747	2.481410988258173
S43	3.335824118627679	2.9037945179676377	2.613048477889993	2.5539966141009756	3.106595575642923	3.514089335578972	3.1054695623758	2.54348141360071	0.8758455607423544	0.0	2.6024273353384606	3.661121427579474	3.2136536314420754
S47	1.3202567132798164	2.9201533197338616	1.909859930666646	2.0253694772400794	3.024060021697112	2.8386533041183895	2.9569094732295427	1.7844776826278146	2.8299122162701758	2.6024273353384606	0.0	1.4484482333502222	3.3503085924467504
S87	0.38677299942794174	2.6412557194482504	1.6812595414736164	1.8458194739434015	2.639063570494037	2.142851940047817	2.563317033336911	1.6196608458373833	3.591866562959747	3.661121427579474	1.4484482333502222	0.0	3.0007506207641126
S7	2.667627361260254	0.4339701612961574	1.4877702692950172	1.333183839274796	0.36946202086896357	1.0190182859674348	0.4449030248811633	1.6273732651583699	2.481410988258173	3.2136536314420754	3.3503085924467504	3.0007506207641126	0.0
