	S339	S370	S306	S354	S256	S262	S228	S277	S265	S361	S251	S362	S212	S250	S264	S204	S329	S205	S232
S339	0.0	1.3108594461007537	0.8508169474430636	0.6822587358278867	0.37339717996535854	1.009855014321832	3.542213966687847	0.3835380282073955	0.9664005092153269	0.9485832137255112	1.4626137325188031	1.2546751578945163	3.693258866066667	0.8819096600390754	1.6489057753204999	1.8724900792510608	1.0518727593665045	1.8747614483692212	2.9346241187817816
S370	1.3108594461007537	0.0	2.0811426117576186	1.9420818463521925	1.4092278309579473	2.2761574311505464	2.984853521597084	1.026098711734131	1.8833004146237446	0.9230351393942966	1.1646998583320458	1.0217811340110272	3.963409910114924	1.6604252821331011	2.491377748734151	2.8469299862167765	1.4349535363616175	2.434537375846555	1.6276706605211537
S306	0.8508169474430636	2.0811426117576186	0.0	0.377036267392016	0.6780253123567845	0.5888763909872826	3.741168134780204	1.0550804884587133	0.6937066441683173	1.4341882452802939	1.8661923455849059	1.658828694873886	3.3967376272085477	0.8344696939127871	1.2066943495578508	1.2017700150528108	1.2016950773444246	1.5585046483874634	3.676244652105357
S354	0.6822587358278867	1.9420818463521925	0.377036267392016	0.0	0.6199592387946063	0.37772160702842306	3.912129931604512	0.947736653576858	0.9693959704404121	1.4504338073865968	1.9495437002735618	1.7016114304250654	3.7346827130882385	1.0392918621871656	1.5597201042160067	1.5781999078895765	1.3481815904104082	1.8803320289747258	3.5394730580548313
S256	0.37339717996535854	1.4092278309579473	0.6780253123567845	0.6199592387946063	0.0	0.99690921568691	3.3469327969365117	0.38745363434545627	0.7222204880647679	0.8317134498576911	1.3471673751630424	1.0885222494355047	3.4353867902096837	0.6378339176761731	1.4304347300778248	1.6177521019559924	0.8093853540229765	1.5946618134948949	2.998385321045092
S262	1.009855014321832	2.2761574311505464	0.5888763909872826	0.37772160702842306	0.99690921568691	0.0	4.273533962238811	1.3088643002629932	1.2680231095214007	1.8272062462598748	2.3234725296329106	2.0788130324328926	3.976058967127418	1.3768956202941802	1.766090315258171	1.697414992609032	1.7115020846846267	2.1456280286642673	3.867967474723025
S228	3.542213966687847	2.984853521597084	3.741168134780204	3.912129931604512	3.3469327969365117	4.273533962238811	0.0	3.2151970495356172	3.1054237331050274	2.6160222676027636	2.1102020351311737	2.334227856532894	2.341994210072934	2.943083975882444	3.073160028394865	3.43251268227472	2.5742309513511827	2.5303123724856498	3.0745883146324013
S277	0.3835380282073955	1.026098711734131	1.0550804884587133	0.947736653576858	0.38745363434545627	1.3088643002629932	3.2151970495356172	0.0	0.9778267640867089	0.6036563390133879	1.1515884928393216	0.8958789039541444	3.546904979731215	0.8133331007793009	1.670152832872521	1.934468705189513	0.8215319720815063	1.767428382574358	2.630558219131851
S265	0.9664005092153269	1.8833004146237446	0.6937066441683173	0.9693959704404121	0.7222204880647679	1.2680231095214007	3.1054237331050274	0.9778267640867089	0.0	1.0451645049161573	1.3186712068698965	1.218893392501025	2.7985608959007178	0.24332375620305288	0.7091896394090526	0.9780056782126608	0.6477836760904541	0.9554335069917401	3.4108113625167205
S361	0.9485832137255112	0.9230351393942966	1.4341882452802939	1.4504338073865968	0.8317134498576911	1.8272062462598748	2.6160222676027636	0.6036563390133879	1.0451645049161573	0.0	0.5628471551083565	0.3270393456884333	3.142735495420342	0.8050753718001055	1.6075571397841653	1.9651706186506834	0.5130433177070998	1.516583855453381	2.367901081269252
S251	1.4626137325188031	1.1646998583320458	1.8661923455849059	1.9495437002735618	1.3471673751630424	2.3234725296329106	2.1102020351311737	1.1515884928393216	1.3186712068698965	0.5628471551083565	0.0	0.4391340903847111	2.804156957219675	1.0870461583044928	1.6764493770887425	2.1113903984907556	0.7116010991414613	1.4488666698351247	2.306194675768131
S362	1.2546751578945163	1.0217811340110272	1.658828694873886	1.7016114304250654	1.0885222494355047	2.0788130324328926	2.334227856532894	0.8958789039541444	1.218893392501025	0.3270393456884333	0.4391340903847111	0.0	3.0064334690535572	0.9829682100456711	1.7048398475541966	2.055688849690185	0.5919696710290812	1.4911709640919437	2.275264534158124
S212	3.693258866066667	3.963409910114924	3.3967376272085477	3.7346827130882385	3.4353867902096837	3.976058967127418	2.341994210072934	3.546904979731215	2.7985608959007178	3.142735495420342	2.804156957219675	3.0064334690535572	0.0	2.818365351508836	2.2582146346249683	2.4089763401194575	2.734305167580224	1.8612018590066166	4.847005747713943
S250	0.8819096600390754	1.6604252821331011	0.8344696939127871	1.0392918621871656	0.6378339176761731	1.3768956202941802	2.943083975882444	0.8133331007793009	0.24332375620305288	0.8050753718001055	1.0870461583044928	0.9829682100456711	2.818365351508836	0.0	0.8685150242370278	1.1902236334036098	0.42322067730675034	0.9942241933593294	3.1717137670555133
S264	1.6489057753204999	2.491377748734151	1.2066943495578508	1.5597201042160067	1.4304347300778248	1.766090315258171	3.073160028394865	1.670152832872521	0.7091896394090526	1.6075571397841653	1.6764493770887425	1.7048398475541966	2.2582146346249683	0.8685150242370278	0.0	0.5457981916795516	1.1256383774937955	0.6153777876771221	3.937631630558587
