	S284	S298	S273	S237	S272	S233	S392	S281	S295	S293	S245	S202	S198	S301	S227	S247	S231	S221	S213	S310
S284	0.0	0.9934040706645654	1.804396569331869	1.9026417088656697	1.0913171261914723	1.375544126736202	4.678307523248193	0.8191466235844479	1.2145437191860666	2.3146732279189135	0.467901789922739	0.6417476663757107	1.5901349733315493	0.8344126945894551	3.576203051960446	0.6397417090575276	3.5952309421221065	0.4372387340748966	2.310431902887837	0.42995321457140834
S298	0.9934040706645654	0.0	1.6068447387231302	2.1161709653425125	1.2063430219688174	1.3377842825427846	3.82820616410285	0.7404500043945607	1.4660324714735062	2.1998906710951176	0.6429984113243248	0.6781894104662597	1.415115869993551	0.8723250521429018	3.2514139681236434	0.5466276722088697	3.5276368324589025	0.9569509918547928	2.1892215308172087	0.9446721459335787
S273	1.804396569331869	1.6068447387231302	0.0	0.9008511166576283	0.7403319889725317	0.443669946962394	4.218767580325251	1.0376340319678692	0.8379256484679092	0.593348983571221	1.4911318532778406	1.255748222156895	0.3076440545147693	0.9873139436524996	1.8300257675066578	1.3299009794429273	1.9227777485157742	1.506533821073626	0.5825368555104458	1.3847176929632454
S237	1.9026417088656697	2.1161709653425125	0.9008511166576283	0.0	0.9665086060970789	0.8563887511964227	5.113436187042318	1.4087058436889905	0.7034672649669497	0.8602155600356599	1.7266793054436613	1.529296815865543	1.030920089314519	1.2759027534401446	2.2467371841534245	1.7050969900116217	1.8492537708858385	1.5674375913955132	0.8701925060616197	1.52558857013141
S272	1.0913171261914723	1.2063430219688174	0.7403319889725317	0.9665086060970789	0.0	0.29731303984676516	4.447227947032134	0.4718214618302723	0.3609857943583789	1.2233980474456267	0.8630090477833079	0.6504880802960944	0.5677485016525512	0.36570588801221426	2.5235786676539944	0.7560546818125762	2.518024265818139	0.8200807760280713	1.21912407708664	0.6665637243150562
S233	1.375544126736202	1.3377842825427846	0.443669946962394	0.8563887511964227	0.29731303984676516	0.0	4.353862340290199	0.6623921365540217	0.46685319823022664	0.9492719438555551	1.0994137171415848	0.8694853941550738	0.32595092656758445	0.5837934842232877	2.2448701262812127	0.9646928890637979	2.266172600318661	1.0848684258560775	0.9434578094524165	0.9528003313340572
S392	4.678307523248193	3.82820616410285	4.218767580325251	5.113436187042318	4.447227947032134	4.353862340290199	0.0	4.2177498075162445	4.779849870204686	4.511285746418743	4.412162859346843	4.352481184651413	4.105599626678873	4.350241264040672	4.206407170822524	4.144183121774414	5.230249410654165	4.708702582662607	4.4943129191315	4.535138227823624
S281	0.8191466235844479	0.7404500043945607	1.0376340319678692	1.4087058436889905	0.4718214618302723	0.6623921365540217	4.2177498075162445	0.0	0.7467675169134798	1.600413060010027	0.4737707996423845	0.25826323413377783	0.8337316197192091	0.15295059821794327	2.813407007981126	0.3151724278702325	2.9251229892312325	0.595405228422675	1.5929861572616308	0.4651879711264013
S295	1.2145437191860666	1.4660324714735062	0.8379256484679092	0.7034672649669497	0.3609857943583789	0.46685319823022664	4.779849870204686	0.7467675169134798	0.0	1.2034376982951185	1.0274944920407296	0.8386939646317604	0.7841629471972484	0.6015705106394934	2.5919664687026005	1.0239942125396362	2.4354918160029833	0.8794706783914973	1.203692932862627	0.8331650534582996
S293	2.3146732279189135	2.1998906710951176	0.593348983571221	0.8602155600356599	1.2233980474456267	0.9492719438555551	4.511285746418743	1.600413060010027	1.2034376982951185	0.0	2.043461648377231	1.8102789371031596	0.8294210034353463	1.5301354125612263	1.4194300430796527	1.8966475841643857	1.3327631765269243	2.011345119336467	0.01734445824026061	1.8885536212368887
