	S316	S323	S219	S294	S226	S292	S229	S317	S274	S297	S309	S235	S349
S316	0.0	0.7084372801210339	1.898728081144626	0.983798709827423	1.349992371184108	0.8285941114870928	0.3809263005331123	1.2156981859823326	1.5255846941246909	1.126362003741408	1.632751035413571	3.2561636256033184	1.3152723215022666
S323	0.7084372801210339	0.0	1.2215147689690111	0.5329459785100178	2.0028544957412038	0.38154842473893125	0.5550385821794587	1.2316556227810196	2.1751962987192184	1.7419140132737727	0.997755100954214	3.403013380307653	1.5657056164652263
S219	1.898728081144626	1.2215147689690111	0.0	1.0342037305132439	3.217755824818714	1.2445390179581135	1.6367597247612442	1.8143046627158688	3.373224438032453	2.9566473254995107	0.38046257150831586	3.8307366994442256	2.553508204672503
S294	0.983798709827423	0.5329459785100178	1.0342037305132439	0.0	2.2879307347373286	0.753634481843471	0.6494622685232945	0.920951211823641	2.416315195995099	2.106482780256575	0.6992177832437629	3.147736305072688	2.0250668705947104
S226	1.349992371184108	2.0028544957412038	3.217755824818714	2.2879307347373286	0.0	2.1134198302442035	1.641768457648331	2.103721348419841	0.2942659061269095	0.5525658454760063	2.9448678944614883	3.355498380138653	1.691851389371139
S292	0.8285941114870928	0.38154842473893125	1.2445390179581135	0.753634481843471	2.1134198302442035	0.0	0.7906782600382857	1.5431145727482583	2.3195799664881527	1.7678013733876052	1.1040135371025823	3.755168286916066	1.357179703074198
S229	0.3809263005331123	0.5550385821794587	1.6367597247612442	0.6494622685232945	1.641768457648331	0.7906782600382857	0.0	0.8865360080699267	1.7749721723302618	1.4873150251619227	1.3311657357611264	3.0403062982784426	1.6436866638263412
S317	1.2156981859823326	1.2316556227810196	1.8143046627158688	0.920951211823641	2.103721348419841	1.5431145727482583	0.8865360080699267	0.0	2.1187522483819228	2.1537005640101756	1.4357737292641453	2.260497591753248	2.5229822202221577
S274	1.5255846941246909	2.1751962987192184	3.373224438032453	2.416315195995099	0.2942659061269095	2.3195799664881527	1.7749721723302618	2.1187522483819228	0.0	0.8463690797767747	3.081308951688147	3.16795591424886	1.9833257542420182
S297	1.126362003741408	1.7419140132737727	2.9566473254995107	2.106482780256575	0.5525658454760063	1.7678013733876052	1.4873150251619227	2.1537005640101756	0.8463690797767747	0.0	2.7279842388702247	3.7251990959509307	1.142829798364762
S309	1.632751035413571	0.997755100954214	0.38046257150831586	0.6992177832437629	2.9448678944614883	1.1040135371025823	1.3311657357611264	1.4357737292641453	3.081308951688147	2.7279842388702247	0.0	3.482165597833682	2.457902855457342
S235	3.2561636256033184	3.403013380307653	3.8307366994442256	3.147736305072688	3.355498380138653	3.755168286916066	3.0403062982784426	2.260497591753248	3.16795591424886	3.7251990959509307	3.482165597833682	0.0	4.511295781185226
S349	1.3152723215022666	1.5657056164652263	2.553508204672503	2.0250668705947104	1.691851389371139	1.357179703074198	1.6436866638263412	2.5229822202221577	1.9833257542420182	1.142829798364762	2.457902855457342	4.511295781185226	0.0
