	S253	S239	S360	S285	S356	S280	S201	S388	S326	S308	S283	S358	S203	S365	S299	S364
S253	0.0	3.8359245660966867	0.40048465040776454	1.4336362142833448	1.0316490488535015	1.2388458429627522	2.120176575286319	3.7215142142343165	0.6757019665410793	0.4153707387288428	2.2038686606261177	0.5768264526785457	1.911716835712531	0.5676016606234681	1.9042776242823338	0.20340132770131616
S239	3.8359245660966867	0.0	4.044651034544738	2.5461786211561015	4.514769778548838	2.634934846926423	3.214813820942906	4.576986100394935	3.366461123903238	3.9311077544019972	2.884928180580202	3.5806065619749687	4.342238325372471	3.3510800275339694	3.859391702132205	3.683852451029054
S360	0.40048465040776454	4.044651034544738	0.0	1.547280166467232	0.6417135722255769	1.427935230317355	1.967991035074413	3.45151414976998	0.7014988294004917	0.13302462208021051	2.1109897612133026	0.933381096377258	1.5790070746092977	0.6952914697446444	1.639645871486058	0.450294718637954
S285	1.4336362142833448	2.5461786211561015	1.547280166467232	0.0	1.971005503311329	0.3333896605195762	1.2890363581525135	3.103829133940186	0.8522448805003542	1.4241043906173834	1.147441278246461	1.439918384548555	1.9855570522990449	0.8775747736534226	1.6147973877813695	1.2533660022498028
S356	1.0316490488535015	4.514769778548838	0.6417135722255769	1.971005503311329	0.0	1.926251920229241	1.991525402288643	3.175898829017475	1.1689993346423522	0.6859034641833128	2.2188019492735216	1.5688266485613056	1.203899321526221	1.2327293108011705	1.458136627544136	1.0603688816669556
S280	1.2388458429627522	2.634934846926423	1.427935230317355	0.3333896605195762	1.926251920229241	0.0	1.5797271082937399	3.3913720291720213	0.781910300798372	1.3187124521975009	1.4619306287028564	1.188969683783918	2.124058091529037	0.7355960438242275	1.8144547903917354	1.0654495763572966
S201	2.120176575286319	3.214813820942906	1.967991035074413	1.2890363581525135	1.991525402288643	1.5797271082937399	0.0	1.8173543031569994	1.4816470455860864	1.844654720682008	0.34700373157247455	2.3809764930622497	1.2394258673019436	1.6401274392351333	0.7151097640004145	1.9563624511697721
S388	3.7215142142343165	4.576986100394935	3.45151414976998	3.103829133940186	3.175898829017475	3.3913720291720213	1.8173543031569994	0.0	3.176074006636951	3.3574920341610035	2.001256877872544	4.082763136547558	1.994379271847468	3.348133256182893	1.8214197329516162	3.587615325013028
S326	0.6757019665410793	3.366461123903238	0.7014988294004917	0.8522448805003542	1.1689993346423522	0.781910300798372	1.4816470455860864	3.176074006636951	0.0	0.575958936533741	1.5420564489084816	0.9219055056237878	1.576257739880852	0.1840835943824465	1.4065747345626196	0.514956281726981
S308	0.4153707387288428	3.9311077544019972	0.13302462208021051	1.4241043906173834	0.6859034641833128	1.3187124521975009	1.844654720682008	3.3574920341610035	0.575958936533741	0.0	1.982034936671682	0.927366397745384	1.5174262602824988	0.5873061785871342	1.5427356593440655	0.4093551194814316
S283	2.2038686606261177	2.884928180580202	2.1109897612133026	1.147441278246461	2.2188019492735216	1.4619306287028564	0.34700373157247455	2.001256877872544	1.5420564489084816	1.982034936671682	0.0	2.404278369135159	1.5542878661836437	1.6789601200514954	1.0377237621950588	2.02622301106807
S358	0.5768264526785457	3.5806065619749687	0.933381096377258	1.439918384548555	1.5688266485613056	1.188969683783918	2.3809764930622497	4.082763136547558	0.9219055056237878	0.927366397745384	2.404278369135159	0.0	2.3950032224457622	0.7745312482675146	2.304483773188701	0.6436873754697584
S203	1.911716835712531	4.342238325372471	1.5790070746092977	1.9855570522990449	1.203899321526221	2.124058091529037	1.2394258673019436	1.994379271847468	1.576257739880852	1.5174262602824988	1.5542878661836437	2.3950032224457622	0.0	1.7298219206368055	0.5257362782466811	1.8186811118964805
S365	0.5676016606234681	3.3510800275339694	0.6952914697446444	0.8775747736534226	1.2327293108011705	0.7355960438242275	1.6401274392351333	3.348133256182893	0.1840835943824465	0.5873061785871342	1.6789601200514954	0.7745312482675146	1.7298219206368055	0.0	1.5760727275895368	0.39527539909755094
S299	1.9042776242823338	3.859391702132205	1.639645871486058	1.6147973877813695	1.458136627544136	1.8144547903917354	0.7151097640004145	1.8214197329516162	1.4065747345626196	1.5427356593440655	1.0377237621950588	2.304483773188701	0.5257362782466811	1.5760727275895368	0.0	1.7747686779849445
S364	0.20340132770131616	3.683852451029054	0.450294718637954	1.2533660022498028	1.0603688816669556	1.0654495763572966	1.9563624511697721	3.587615325013028	0.514956281726981	0.4093551194814316	2.02622301106807	0.6436873754697584	1.8186811118964805	0.39527539909755094	1.7747686779849445	0.0
