	S28	S110	S131	S81	S23	S59	S123	S32	S25	S112	S154	S68	S153	S143	S24	S84	S185	S133	S35	S63	S116	S174	S187	S36	S48	S171	S159	S14	S12	S47	S34	S92	S3	S9	S105	S165	S21	S158	S66	S7	S58	S182	S80	S98	S82	S138	S69	S109	S37	S76	S141	S18	S137
S28	0.0	3.822356779924854	1.2539534048033525	3.673130742749253	1.0975522032951417	1.7103368289620489	1.4183463748684428	2.4169356360120475	0.7350405658771103	0.9480203267821447	2.5075678584618113	2.901888514766321	0.3424669031475702	3.2178466638625802	2.1964025130763103	1.7812170693092162	1.97482858581438	2.661381259928317	1.1136925132683628	2.7241810852615487	1.0594369235270247	2.534476627172437	1.2498629066550944	2.9104836242912393	2.4081141001972917	0.821866143047949	1.6843155813792505	3.6804227434281493	0.7780844578976766	1.5274095172980813	1.3968821845522528	2.1120595477831667	2.607882809196887	3.8215414440110935	1.9472075397959154	2.5987265581878867	3.522967588974132	2.848159012251468	2.5926319456416227	1.0575220236491163	2.671354511441907	2.3326697916158823	1.8386635476062365	1.5673265374804197	1.6455968823132132	1.6897673010070755	2.968345878191368	0.9905290521268206	1.8953544582206083	1.8757504020425522	1.7042111931047195	1.2374814450005367	2.1402708851915926
S110	3.822356779924854	0.0	2.6231370427190503	0.1524370206759002	2.9662094925522284	2.539599717134686	3.558670615778697	1.925062644031113	3.902691275053754	2.882099296486282	2.127333516275092	2.1551180250035924	3.7028268680043794	0.6190406538875404	1.760928113683846	3.098560517995549	2.8599505911101084	1.8321580388469236	3.595299451111839	3.210429692042716	2.7857308450085427	2.7004841034878453	2.5931273542580513	1.723447560227304	2.0628471628343688	3.089065829719101	2.959130954101312	0.6129950600402888	3.6472438648491172	2.3117726586520138	3.572316544792962	2.966765131758651	1.218033938648424	1.9652700148396702	4.482609107121784	1.754903773139536	1.5517981796073244	1.4709174442135535	2.318656121871369	2.8116753554557716	2.900072330606107	2.833511546763891	3.895760162897226	2.7095138193996497	3.6972092038657824	2.3880327684949574	1.8040445648838628	2.9827512725596113	2.7517448444406982	2.029889653890634	2.2408527595403296	3.323432992302449	3.1498511188720872
S131	1.2539534048033525	2.6231370427190503	0.0	2.4755667457113346	0.935582212579758	1.231865985466427	1.7610532204368874	1.6327979302182631	1.603024253081164	0.4839175291960758	1.8512477608152549	2.260651392635016	1.1574908514961821	2.041888773650082	1.225794303924337	1.726124461809698	1.7407376195046507	1.8711648797636233	1.1177156375691524	2.5601092186280012	0.2369905071343846	2.1580540411794606	0.48306647878642955	2.0941510369625025	1.2370832370290437	0.7623237204929209	1.542943927125517	2.433340352851744	1.4023857482738376	0.40561216786010196	1.2345309552177963	1.928422318696132	1.4115485571146975	2.6377061433243996	2.174880799083159	1.7631760607322076	2.2999836082170897	1.9247521816705881	2.0291188891332546	0.5814768927529421	2.3744143823839186	2.0473602881161983	2.2583615160232284	1.2037977383820682	1.4713580390160037	1.0465626647539998	2.1841627808863833	0.8295864237317773	1.5880781886599469	0.9341269216326246	0.8863769389291701	1.4497120535510009	2.0582109582869306
S81	3.673130742749253	0.1524370206759002	2.4755667457113346	0.0	2.8221148235239406	2.399800223089745	3.4217136888979525	1.8038948153329528	3.7568835192009176	2.733432141667578	2.012219546039941	2.060775773539055	3.556879198671091	0.4767093786612151	1.6187672022071666	2.968214265722869	2.7337601063265686	1.720368279975773	3.4535075810608626	3.1098729985166877	2.6381546191826235	2.5937761249229907	2.443299987833724	1.6245992613750642	1.9426236767591218	2.9424408311657193	2.825231536656384	0.5889508957152895	3.503294736666371	2.161073487486946	3.434849160591688	2.845336537815083	1.0684050138180716	1.938623014275009	4.35057061499894	1.636835571344392	1.5084953983012348	1.358921181157604	2.2116381129188554	2.6644161235212445	2.798413852572269	2.719136679413459	3.766371511638594	2.572120394835768	3.5651898120265537	2.2466567268881525	1.7115669229089434	2.8363661358214345	2.6234770874643543	1.8838201604459681	2.096010838088318	3.1825908229096505	3.0294214579338643
S23	1.0975522032951417	2.9662094925522284	0.935582212579758	2.8221148235239406	0.0	0.6732895204025573	0.8390849098111399	1.3416873667361364	0.9451059536319196	0.49764488628424847	1.429063890272334	1.8226518340173972	0.9844436372425543	2.3471804435559593	1.2326409868878467	0.8545075044215333	0.9586887915777571	1.5900545070545915	1.7091781067031226	1.7648271461773846	0.7431864339520659	1.481973027549096	0.5798971931567546	1.8434800203899617	2.1030037281011507	0.33038669278969984	0.7048062961243695	2.9539503221117673	0.6816439815739013	0.9581527289524286	1.9258132943489223	1.1249162663302157	1.8195818981274408	3.425783832748004	2.7403450552438864	1.541140500228104	3.026306454491854	1.8182955337666582	1.5072947633556124	0.3548020022576236	1.6510723771394733	1.307603967426607	1.3261941305264362	0.47477248221537455	2.175279727915062	0.6412534504230802	1.8905541639528347	0.1549263980461531	0.8386790331930857	0.9482206076077584	0.734822496693749	0.5404504258265993	1.211449281158275
S59	1.7103368289620489	2.539599717134686	1.231865985466427	2.399800223089745	0.6732895204025573	0.0	1.0412787544871824	0.8002703279139234	1.4798981929716446	0.9590691254246646	0.8085710128228726	1.2025496491304366	1.6452725877907586	1.9357838974725685	0.7956438687969718	0.6755038125224084	0.5866193156721589	0.99403620957191	2.225436275217316	1.4032314307714366	1.1473066091148516	0.996707051222286	0.7681995840892396	1.234324680756568	2.165625391913365	0.9594629478796973	0.48685287357654455	2.6436400398766042	1.2590302927349255	1.0082943812847993	2.4087736281542025	0.773833370003482	1.5104461590730895	3.366401957368612	3.295528598400931	0.9591297764215194	2.923362467127039	1.240905007638358	0.9281691380760099	0.8069904659142422	1.199533276859386	0.8711349182930956	1.439865563983414	0.34513656569529766	2.663535576095328	0.2677962167086078	1.283854388187337	0.7474420115973655	0.48221358557939337	0.635675896611791	0.4750189585380827	0.8070029378342434	0.9267650091832661
S123	1.4183463748684428	3.558670615778697	1.7610532204368874	3.4217136888979525	0.8390849098111399	1.0412787544871824	0.0	1.703471548603672	0.788648494775674	1.2909515677484404	1.6265913071158336	1.9146826490955475	1.380230907827657	2.9527948874366983	1.8127996967554791	0.5621704541247512	0.842209416458512	1.8885939954197855	2.3615690870956927	1.3856086639121514	1.5578546503514015	1.3647501786832092	1.371972847566534	2.116470337250491	2.93658897701238	1.0484812593357455	0.6260013748512964	3.6468478869128944	0.6806350921944423	1.7542477871628128	2.615024453085916	0.8820534117720417	2.510045583506104	4.238519979294145	3.313382171290576	1.8990407737673365	3.820597144786083	2.209543471425089	1.5845382403387345	1.183023174643974	1.4160481811768026	1.1301470399537228	0.511897136929647	0.8689342642186245	2.8680456631885716	1.1956431239768028	2.1211093427691603	0.931654783443872	0.8792472547704049	1.6067430861010537	1.3956234735921271	0.3206391354296484	0.8244596837422388
S32	2.4169356360120475	1.925062644031113	1.6327979302182631	1.8038948153329528	1.3416873667361364	0.8002703279139234	1.703471548603672	0.0	2.221021984837544	1.5493599877574584	0.3484387903934423	0.6782850794745076	2.2900897576856343	1.363661376900638	0.5357671157125299	1.197341858624359	0.9452121896341249	0.28369292056357415	2.731692629094493	1.3947649221042937	1.6298408056470561	0.8627521095048403	1.3012972350553569	0.5322864050555532	2.156126497605077	1.6047574188779565	1.0884322355608675	2.144483859602582	1.9641191554259982	1.337396135075237	2.8590225299409675	1.0486565638873366	1.171405277974077	3.078653557499094	3.7825116445313522	0.24715872535525837	2.5953645127067895	0.5531655899695539	0.538924324241765	1.3940884281276267	1.0991721705449753	0.93926851380167	1.983239675057206	0.9249807666531438	3.073520861334174	0.7337516526286252	0.5836163725801676	1.428551396844785	0.8436803941257754	0.7301380585608167	0.7788534698581505	1.5320118989684823	1.233297770917806
S25	0.7350405658771103	3.902691275053754	1.603024253081164	3.7568835192009176	0.9451059536319196	1.4798981929716446	0.788648494775674	2.221021984837544	0.0	1.1441557497060293	2.2275861524538136	2.575587456781243	0.779490717826825	3.284091317572804	2.1600680453107595	1.2817411852775416	1.5335966877254559	2.445371527116966	1.8166946479551387	2.1663915358956554	1.3748343662834062	2.092340447733939	1.3786838122563447	2.691252270743432	2.837385691762381	0.8824976988928889	1.2556068172150257	3.8727186900684574	0.30644258813777	1.753922080701333	2.094090619568251	1.6228678808904955	2.738709713775886	4.227007879926037	2.6594486606154306	2.4190360982140833	3.868274623626699	2.7098286800745397	2.2461429649126323	1.1426003757157024	2.1775166486831434	1.8662696332551034	1.1330811273399444	1.299315031714876	2.3405454031390933	1.549730143071965	2.721809818195112	0.9280690934223427	1.507653393998833	1.8742868622795816	1.664007579532369	0.745607282345607	1.5981560408278588
S112	0.9480203267821447	2.882099296486282	0.4839175291960758	2.733432141667578	0.49764488628424847	0.9590691254246646	1.2909515677484404	1.5493599877574584	1.1441557497060293	0.0	1.7004213543740794	2.1130598525486266	0.8612897380333154	2.2734277615312526	1.2636279400079131	1.328827220630859	1.3997309174421009	1.7970637032593548	1.2719344818990812	2.2279668055651825	0.27942756073528696	1.8887450223405478	0.32527761554330026	2.0408823679557653	1.7133735444257958	0.2985609780964541	1.1592154548777336	2.7759304989522446	0.9368585694485808	0.6349780366174611	1.4701331647459144	1.579720824068994	1.6744434568187119	3.096929555318182	2.3370256554347564	1.7149501565996779	2.7357422285696527	1.9392328690090013	1.8368599730486546	0.18097098848695925	2.0812693177455395	1.738870387450723	1.7929433763584615	0.8758274472241221	1.7296683333899472	0.8444769518756627	2.113031159705477	0.3659113552188882	1.2666877195562276	0.9412435623665063	0.7912126833892528	0.9823837417250205	1.6837050039108836
