	S110	S81	S13	S193	S194	S93	S169	S57	S73	S32	S68	S139	S196	S15	S170	S143	S195	S133	S45	S88	S53	S148	S174	S22	S186	S75	S67	S43	S30	S36	S99	S136	S111	S179	S106	S176	S29	S124	S40	S151	S3	S62	S20	S42	S9	S39	S165	S31	S87	S158	S66	S102	S145	S77	S184	S183	S101	S175	S69	S74	S10	S129
S110	0.0	0.5566679811718945	0.9151650238194498	0.3766032121555088	2.9161142335714207	2.833231590127686	2.6613344444993907	1.5937879386479488	2.4087207954214267	1.600433863393147	2.1500383015241558	2.905799452609827	1.474881941099214	0.505317047542343	2.9794020117065236	0.3384370657353042	1.9208465579256595	1.7025941217361982	1.2804575215942386	0.5201658827183989	2.8785547476663917	2.4735541405217036	2.6637898870186514	3.0073095382512633	2.99086912381639	3.6294710321519217	2.059036659686755	0.39204147117873034	2.849686983283803	1.860525993756719	1.9365032506708588	2.9888462397063376	2.304259153962815	2.058429499657066	2.9853390456202407	2.6953743579686456	1.9513003009881043	2.9559056221783844	2.1407169083071427	2.9301468195456333	0.3316714610066704	3.035244373646646	3.0917842917214067	2.271496878915304	1.8059993645284609	1.5420975008207936	1.5628297196322432	2.804849564405384	2.227879204824012	1.4590581422182745	2.339779159007794	2.0114321243946174	2.6426246501725292	2.041271851875849	1.5903088182365204	2.809139519645912	1.4836001460973722	2.625784842128514	2.014431904990625	2.3767541061568913	1.0861092873157137	3.621822920903547
S81	0.5566679811718945	0.0	1.3335628773246468	0.38972076542600753	3.292059369809587	3.2396923263812356	2.8231837693838204	1.7259075359680367	2.8280184873548277	1.6954916985605644	2.188728674148241	3.4365238413139743	1.8726121087481262	1.0485839594058837	3.2743647074270146	0.3970298837078684	2.3466570949212113	1.8329484680413877	1.6319528816123539	1.0762976464143112	3.4309411309651354	2.7534619985432864	2.823201605536258	3.232091358628369	3.443330444045208	3.931950111017792	2.338774044986045	0.2319380862411843	3.0520213122223523	1.9429877327711376	2.4480245140113683	3.527439174985981	2.7660689757619723	2.6060511509257602	3.48148797668325	3.1148269765273464	2.063665638872961	3.4062037959627047	2.5801557149750893	3.2900613205561258	0.6670759820531199	3.361958014791125	3.616562854484283	2.798549823805697	1.7362693169865278	1.847089771592791	1.781340963204149	2.911794320182804	2.327338928471372	1.6057596371285483	2.4599958929870245	2.452528584709739	2.9331532718145996	2.1854159592468645	1.8344218508551648	3.337145134793667	1.9901817363784533	2.916889170315022	2.0229128167085713	2.607210134327343	1.3504316174138498	4.174365500409501
S13	0.9151650238194498	1.3335628773246468	0.0	0.9656092529235608	2.0076379615432645	1.9358682957942415	1.898700800376755	0.9863797223046628	1.5106261508158527	1.0474408463870433	1.5989189260588117	2.1912889442969603	0.6060309716565707	0.7893944065648941	2.0899309753848025	0.9394603896262932	1.0364731975134167	1.078698730790422	0.4046773327860403	0.6977619626247104	2.309250213421524	1.601480234079888	1.8993386728809938	2.166420966928332	2.1136719710307195	2.7328468996715367	1.205787696950172	1.1550859466973469	2.033592095044041	1.2843243341403667	1.1849961867362728	2.7229123149962575	1.4480464972316176	1.481389785667916	2.1749523539767126	1.798175325414457	1.3153658765605605	2.0867220574902148	1.2565803829694342	2.0191508800229774	0.6722708481694377	2.146183693198111	2.355854542732169	1.5597369684781393	2.6439388085187723	0.7121580526570945	0.8296598953254137	2.096417865218214	1.5820130073620595	0.87746332737223	1.6452967973534247	1.1351752496611958	1.7610943597090032	1.3692581181041346	0.8323978354085394	2.0850405598471013	1.5848244448928894	1.744399209334264	1.5234100160804744	1.5488529546432135	0.47117294915534014	3.2210687001702745
S193	0.3766032121555088	0.38972076542600753	0.9656092529235608	0.0	2.9278223647580814	2.8791891420144307	2.5079658694873275	1.4136191840297525	2.4637862494949627	1.3902483807373673	1.9284961198992636	3.0994853966915876	1.523103414859335	0.8076149620628803	2.9172917057114653	0.07472174300776718	1.9897218581989098	1.5265391172812983	1.2666748124774065	0.8278658279599688	3.125592652050869	2.3992435047696694	2.502577041131112	2.891646742634147	3.078258124964337	3.5753888735613972	1.989605968008505	0.30976061369977315	2.718629916146249	1.6596473494712332	2.1071273350976076	3.2906961270357065	2.4108019383893216	2.292285406417633	3.1303415061918507	2.7507842473519406	1.7676680333187536	3.0489518925029357	2.218603556461275	2.9236085260072624	0.33664450400439666	3.012790097623516	3.27922945152797	2.462666005558687	1.950871883373082	1.4998975128395187	1.4441108706903087	2.612664874505992	2.0420477601276423	1.299422211891763	2.1554851423984034	2.0952563770933694	2.5780849204729264	1.8927389969868824	1.5015413160003266	2.9957070141504425	1.821434584474703	2.5619664616656053	1.770625402119647	2.2626863184736483	1.0176993911125323	3.9112608215133866
S194	2.9161142335714207	3.292059369809587	2.0076379615432645	2.9278223647580814	0.0	0.27329067489420816	1.3407833631722212	1.838022525587939	0.5813405196069154	1.9455070343960665	1.9509687913092955	1.6225935754459477	1.4560825937060602	2.7082682932774604	0.5813881667059139	2.903844368480355	1.0364798412892149	1.7804877413952938	1.6618184854456695	2.6018842972279943	2.162508446820971	0.7896903281624305	1.3622234070059893	1.0194492809835192	0.6638337006308968	0.8910537519780938	1.0669089657845379	3.112822787178846	1.1293007109649182	1.8628183145501638	1.425662167821253	3.182905621702794	0.8824814745863632	1.886819886186644	1.1379186290602123	0.3917415022703352	1.72374948664223	0.6550609606427602	0.8737547893989485	0.14918780462728176	2.6501415774758823	0.4134013509764846	1.5806655079321799	1.5006514765442645	4.611369497069275	1.468229193873181	1.6299724131243007	1.6366288577959454	1.6925078195007996	1.8861469753844655	1.582069317133124	0.991745308489973	0.6521066741647621	1.588549945006851	1.552075933307691	1.5609211079211367	3.018211653414429	0.6551268947388648	2.084904541797476	1.0759203451145767	1.9660402741903718	3.209090277539519
S93	2.833231590127686	3.2396923263812356	1.9358682957942415	2.8791891420144307	0.27329067489420816	0.0	1.528987756768652	1.8908178460495708	0.43801798991386115	2.0081424017317846	2.0688440280166773	1.3865643415559084	1.3733163679100489	2.596912741098221	0.838885213492248	2.8508905841578898	0.9153834878768234	1.8433479180840535	1.61900128582522	2.4848245595911616	1.9218266433521656	0.9459528437856523	1.558500572536746	1.2635703163990297	0.4667847211198857	1.1346124652571838	1.1309452090627226	3.050339499411329	1.3519958597215467	1.9477113487613258	1.2251862292467048	2.9600326218695043	0.6693843329124696	1.6713459172208405	0.8992127605991395	0.1831045992832017	1.8178786502915596	0.4129877333232596	0.7222231509348026	0.41674243436794056	2.5851723148325516	0.6178404841407028	1.3405757073071678	1.272728820623995	4.502489328236336	1.4514914238610779	1.6582407489839401	1.8398659748190718	1.8174448742689848	1.9138818797205108	1.732589434990997	0.8442476209380467	0.8428315543302438	1.6745004919054303	1.5654483644741326	1.3312054363836878	2.838916982115142	0.8410310439782122	2.192258796764492	1.2290653311913253	1.9335390376730335	2.9754002054588544
S169	2.6613344444993907	2.8231837693838204	1.898700800376755	2.5079658694873275	1.3407833631722212	1.528987756768652	0.0	1.0980088058476614	1.4795719267725451	1.1443936548637548	0.8012380817394896	2.776897555239504	1.529026207671514	2.6826500912549682	0.8649543797828467	2.496295917668839	1.5103963471083715	0.9907256768412456	1.5074374125651908	2.58497409369877	3.2261481290807343	0.6367754876863255	0.13501878454290098	0.5320957273270314	1.963649165141589	1.375381966918305	0.7882053914577588	2.697523380377824	0.3218000637490679	0.9124587613279936	2.1351770972228383	4.074226957545299	1.7832748311926725	2.665036796868447	2.38322989625666	1.563508479775662	0.7724964874647201	1.9380217825108337	1.5853917691675543	1.2399700676082375	2.3330476921534586	1.104730027614894	2.799709801624253	2.4097952664297875	4.430035228741192	1.2287646129125436	1.1029748199205827	0.33153208158422337	0.5632127439840512	1.2290832331566346	0.40424188822707374	1.5972154912547567	0.703435999461462	0.7004770044287494	1.1065917248492694	2.6874438592989254	3.393162927375677	0.7033076831328117	0.9803370137524268	0.44556407315949736	1.5965629030324484	4.293832175193563
S57	1.5937879386479488	1.7259075359680367	0.9863797223046628	1.4136191840297525	1.838022525587939	1.8908178460495708	1.0980088058476614	0.0	1.5845536029211509	0.14657704106576	0.6163123316864245	2.7059372828359445	0.9372153771977781	1.7011842240493038	1.6438918189387188	1.4027388524781341	1.2683515306415751	0.12087667305865814	0.7126548826800766	1.6159289318870889	2.9908356801385794	1.1307998284744432	1.0999624424284609	1.524282258408631	2.2383105926166738	2.2890395377526924	0.7727953167663912	1.6053693163790188	1.3337826583108745	0.30463750934000394	1.7800092281350326	3.5994326389211504	1.7257793323245942	2.238909317195082	2.4939056942966724	1.8238358800897092	0.36553950844210353	2.2047619068227258	1.4792977832029743	1.792447647004807	1.2627647035364822	1.7963724214520105	2.810391187456469	2.152037352197137	3.3509136632585226	0.5861919693892518	0.2751173744426522	1.2136697769322105	0.6478555916974569	0.18891845511261682	0.7486963333979783	1.4022199157666828	1.3149300029732283	0.5267355007012019	0.3985776489129332	2.6002223425366533	2.5711533183650506	1.3008742102822268	0.5479892050942976	0.9236798181508525	0.6071898022762169	4.00097237180108
S73	2.4087207954214267	2.8280184873548277	1.5106261508158527	2.4637862494949627	0.5813405196069154	0.43801798991386115	1.4795719267725451	1.5845536029211509	0.0	1.7026227122068782	1.8725929200748255	1.3015369494641236	0.9700173325255816	2.1627470538195466	0.9890470297432251	2.436472312457762	0.4974933215059022	1.5584485146003286	1.2157108250985609	2.055536684742736	1.7661320029116623	0.8544962704756618	1.499513603439368	1.3449376335388237	0.6628519253285766	1.4588940323616733	0.8844388902825517	2.6397687970165977	1.3706045185567717	1.6970173025610473	0.8564471016491673	2.715923309606419	0.3455924353012607	1.3501032776936994	0.9453400308569814	0.2876195917661476	1.5844861709089764	0.6320893446786567	0.29503218040827606	0.6592757208841153	2.168481403807241	0.8829499720589288	1.3323222101901655	0.9989618036822495	4.067191315083152	1.0935094444813873	1.3306852935834939	1.7927277046578574	1.6476588868328137	1.5911429161428636	1.582472335770785	0.42299512214564017	0.8385913510923935	1.4706699240077572	1.24077846236775	1.2177354523340913	2.4404656221540892	0.8292492732081359	1.9631855771488371	1.0962438718973515	1.5524985219432335	2.840184717395652
S32	1.600433863393147	1.6954916985605644	1.0474408463870433	1.3902483807373673	1.9455070343960665	2.0081424017317846	1.1443936548637548	0.14657704106576	1.7026227122068782	0.0	0.6002106871586064	2.8173736731366876	1.0591552918321188	1.7313079086072796	1.726916043059505	1.3862452686944102	1.3926650897536452	0.22088825163942963	0.808551162896232	1.6591793978061282	3.0968895946032653	1.2208645726369307	1.1340577126943772	1.582525936087696	2.3519582759883044	2.3679597854196475	0.8869324881586491	1.5927535826949675	1.3865439668356407	0.31837675324790765	1.891549383240599	3.680730098517887	1.8478550571524066	2.338059473707288	2.6122245613375186	1.9401203199224135	0.40915287586604576	2.3254324676143523	1.5991641100843967	1.8927023250031023	1.2723852972755454	1.9019661517450543	2.9269299137221636	2.2622150307680777	3.3281342785028603	0.7171051246848349	0.4055399485610835	1.2226187469828595	0.6801854403557079	0.2916854407989222	0.7695730909177281	1.5248628486238986	1.4053661627219043	0.6170182418750507	0.5400431263641658	2.709046328514803	2.6266552188117682	1.3922739563718975	0.4885487917798807	0.9960114296860241	0.6853639583290931	4.097385165174908
