	S339	S334	S337	S300	S267	S343	S353	S370	S230	S272	S306	S354	S327	S359	S233	S346	S256	S262	S383	S219	S276	S305	S294	S385	S356	S280	S224	S312	S201	S228	S198	S277	S220	S301	S255	S265	S361	S251	S362	S212	S333	S250	S308	S210	S231	S350	S221	S358	S203	S378	S355	S244	S315	S264	S290	S217	S204	S310	S349	S329	S240	S205	S214	S232
S339	0.0	2.379471755146391	2.7293416927977643	2.3290586321788846	0.23003564365294155	1.4251284536516748	1.0478896986712225	0.541651366648576	2.2643622656136184	0.9661174947107556	0.882533075150334	1.102348124533626	2.314453168848358	2.564145563382916	1.0589171413841327	0.7506601700492664	0.731284702907378	1.2564054088230687	3.3296025855320357	2.1479406513842494	2.592719238550729	2.6593531705091658	1.6285110030987116	5.141233964988702	1.2885315766154388	1.176136584155822	2.556351575337898	2.1158378782325333	1.9060607092341153	1.4402206365115124	0.5515596643680507	0.16820215942415814	0.9324257252857397	1.273466186631808	1.7711377250027702	0.4207062273680354	0.1910845329028016	0.4865732532539809	0.3903591074624608	0.6651035829150168	1.4136660716196563	0.580460535357081	0.9433300887837631	0.6623557391862481	1.9608634201247404	1.82449367579591	2.0359235560768534	1.5283885754320239	1.7266232712128597	1.4961987581750416	1.5605112150452765	2.0344885748681256	1.772515369167438	0.27507151860171336	1.7106104355950174	1.0906633708746563	1.3026323391938317	1.3738013846257895	1.729779431776975	0.3925146715072589	3.668264958728175	0.49209484013251964	2.4328768125391886	1.5728805726638322
S334	2.379471755146391	0.0	0.4185936189750448	0.9759047574080506	2.570921737268845	0.9633235032266039	1.5397881883078406	2.8967374124978025	0.6762989012642788	1.4181925762053866	1.7927258879206327	1.6550400570799504	1.504238903931418	0.6322713992252891	1.7600007254511203	2.5601242955106867	2.123101278728162	1.4976950347829951	3.487812291716784	1.4289700881024323	0.9465001764557172	0.5665837419138062	0.8505691712020406	5.060742400997308	1.1557056145688378	2.0411786978414055	0.6316976290480096	0.5473758127702628	3.5362305593413628	3.4749223947556587	2.234138603239463	2.4571779862637593	3.0224255771626503	1.161600622788347	1.2068380433381614	2.413825313817653	2.518139272906615	2.84360539078878	2.5169614809417435	2.727446094042228	1.1123391585906415	2.825178304253765	1.438062200997395	1.8742959656657694	3.132746282500175	1.8200583341583338	0.5394666399746341	1.2499194015059971	2.664550577609978	1.0202399239539546	0.8328447354322202	0.4125747505671028	0.8258506656839439	2.522705251395134	0.7206476095096539	2.7434966176074425	1.2051064910472842	1.3719351603071597	2.0783599432291497	2.595453250173074	3.9822783503128436	1.9172016915452357	0.22695100497571533	3.780119137607289
S337	2.7293416927977643	0.4185936189750448	0.0	1.0124796171110642	2.9297398683962386	1.3092929072805608	1.8846074704996196	3.245797636748353	0.7567013005207971	1.770807013662406	2.1628629917649236	2.0209726453991603	1.5783079094595043	0.6124538900977672	2.0563200624683615	2.8719948565213493	2.492566024332414	1.859075802260614	3.5731995185885586	1.5434566532636933	0.8681065296781325	0.39184048182532444	1.1596986809543661	5.089350579726199	1.4735665159084135	2.3034401860909504	0.5252549075506284	0.7387046732262753	3.825932360907285	3.815482927643759	2.5734553335822405	2.8191739671484863	3.3580151395011653	1.4799385606918039	1.3944470237855608	2.7783024817821116	2.8784839529202983	3.193263628119201	2.8932538711478433	3.0573957953654	1.4043173832951275	3.1906744627126944	1.7889709489998404	2.2303351749616573	3.3710498920155207	1.9855736942115259	0.7489426221357052	1.5953697190512917	2.8908441097467246	1.3067870537536368	1.1691296586202529	0.7490129718398233	1.1743589907747438	2.8733916264709984	1.0771909321935584	3.0479470498821404	1.5614418432061474	1.7290888909103117	2.2908079938135555	2.965192408276354	4.084234068848267	2.280017584892715	0.2965020255484716	4.128957157853024
S300	2.3290586321788846	0.9759047574080506	1.0124796171110642	0.0	2.5489770411689063	1.1901100932379156	1.8423186475207083	2.76602628639973	0.30679033428214353	1.45706569868466	2.0914933785712306	2.048555925014339	0.5732330266575679	0.5039466416388966	1.3877867561926434	2.2160501094977803	2.3765791226615036	1.9502923993895187	2.5748378300179207	0.5507876981774917	0.28982544040590075	0.6555192973076575	0.8154473367760365	4.171203361464088	1.0998488796603134	1.5308396740164385	0.504211345619834	0.49911060469064894	2.996055368212479	3.141556307301277	2.0090828058629557	2.425628623894034	2.7263716541837586	1.1268678706334616	0.5912705677911269	2.5261420589191657	2.48051381574656	2.7211618012091274	2.5731401442865103	2.451528412717947	0.9411841895040923	2.8802715326691066	1.5210340319748952	2.0508043452579154	2.458968049843646	1.037916429335298	0.6266817487259555	1.8122281041405668	1.9799732990712042	0.8838923736261179	1.0424774521029994	1.0940657551410577	1.4659472802248574	2.542077195995083	1.2173174857690168	2.310328424737847	1.5862111989736754	1.8696860566459343	1.3692881366031424	2.6478842512155056	3.0907913971812584	1.988535094127379	0.8848671689748163	3.5048072168207973
S267	0.23003564365294155	2.570921737268845	2.9297398683962386	2.5489770411689063	0.0	1.6215962579932082	1.1969748352201	0.4110125146126801	2.4801165479182905	1.1669001227702485	0.9821882000899039	1.2060813643755344	2.5289486570258473	2.772934708716532	1.2671399273298174	0.8584575056275524	0.7625274890157164	1.3740831585452864	3.47851475812627	2.3623396872879487	2.812333245046575	2.8700409303598144	1.8379259191810897	5.274733469821195	1.502168485197303	1.3711065013900485	2.771129000025176	2.3270159616020383	1.9201386007921928	1.3679942453951974	0.7074368481876255	0.1463488969081818	0.9001272908998639	1.4868298626571352	1.9932603110267537	0.37156595008846	0.09441257376653811	0.3589316600888788	0.2558043354330551	0.6998095430960003	1.6314660536229422	0.36806913718337947	1.1408661026209388	0.7960842321312641	2.0549811605154944	2.033359929782958	2.2474437366673015	1.663299049538137	1.8669898348857668	1.7131286284281815	1.7616341750088091	2.2231937444224856	1.9370917927727989	0.21048461441158653	1.8946972637816415	1.1691972739954573	1.4674765473492617	1.5014507561681425	1.9137541613803926	0.21220846338613722	3.7950217077369675	0.6583312384599262	2.6336249487935137	1.4467475468547686
S343	1.4251284536516748	0.9633235032266039	1.3092929072805608	1.1901100932379156	1.6215962579932082	0.0	0.6690019999482619	1.9508481713139831	0.9939854873270046	0.4816978503869836	0.9274530558125491	0.8604607857556892	1.4910448047139475	1.2526116836007088	0.9985962910134226	1.684553702679512	1.238504036115129	0.7643863205461345	3.2566841056987847	1.3378145063197746	1.3761969652518866	1.2940817223327226	0.3979048791901803	5.00431199932627	0.33009359302170216	1.3175423565498376	1.2244356845611173	0.7945554676128792	2.7890996520535887	2.620470072169185	1.3470752316504653	1.5145096118665529	2.133012868913677	0.3097636157798855	0.890869199882848	1.4787892751792695	1.5731345806267198	1.8971156903079864	1.5916367933515683	1.8237941138580844	0.4358557870315175	1.8848477051447472	0.48246912800675856	0.9427445646492013	2.4934873793023042	1.41897156032547	0.6821495849957165	0.6846371225394617	2.049268159716893	0.4029831192924161	0.15954233350191996	0.618072612271444	0.530275727913786	1.5666514393151134	0.3283003754882702	1.929925476007715	0.4009134359060766	0.6995170814719709	1.5936569937260379	1.659036110057977	3.719786639539315	0.9718062762662493	1.0136277707140695	2.8854848717995885
S353	1.0478896986712225	1.5397881883078406	1.8846074704996196	1.8423186475207083	1.1969748352201	0.6690019999482619	0.0	1.583909288086387	1.6564558493870103	0.5720611793549264	0.34218165286356805	0.28942971498565045	2.0858033999614642	1.9149006705804066	1.21495118560914	1.5798188490674485	0.637367025382696	0.3049066030132445	3.6691835878010304	1.9226674902966658	2.0344672663709757	1.9327250648507488	1.0478689370181973	5.46669726456846	0.8024939589927018	1.5097794884912283	1.8715320262439674	1.4584558654522897	2.7832707288767153	2.436672916788643	1.2385621022980566	1.1309147381135756	1.9307018522451873	0.767412054896614	1.4566419800893986	0.9468959700165087	1.1806179645108916	1.5288440240845451	1.1424316250849802	1.6279503879056867	0.9686673565030705	1.370798763804996	0.4697002434040393	0.4025329779626237	2.6390283383157493	1.858297437890276	1.3306766899334759	0.5030632640518942	2.2560335934780884	0.9857817786872858	0.8250463325151346	1.1433952033566457	0.7911662035075512	1.084736430353898	0.8193885922747228	1.900702792124744	0.3396020710487205	0.37435653646895817	1.954913201349771	1.1804971072480268	4.098336882050107	0.6020741366352548	1.6007296287160564	2.609615775444085
S370	0.541651366648576	2.8967374124978025	3.245797636748353	2.76602628639973	0.4110125146126801	1.9508481713139831	1.583909288086387	0.0	2.7358392484599823	1.479348662992086	1.3887515959892371	1.6126993541894894	2.6679943133303308	3.037286977713108	1.407888551483803	0.7444930698353758	1.171762132843699	1.7770345941219168	3.3694723378000107	2.5095663733534126	3.0418378398221644	3.1507932137926926	2.1182196512518607	5.144956141843983	1.7837626567548523	1.415574242812825	3.039798851198404	2.6030391327560105	1.6193952081559317	1.0194542621057827	0.792959120319205	0.48027322717030235	0.5818102808432485	1.773503968598871	2.1872572253904075	0.7688900198519748	0.4232538745248728	0.055478606935866565	0.6019641501286201	0.4976810486234689	1.8906618095162337	0.5490627787046729	1.4698475619755547	1.1895084968104972	1.8534390986876939	2.1107590220577546	2.5358833225194832	2.0596673525395897	1.754356086072268	1.9805986067243104	2.0792400032486666	2.564674375101206	2.3105591140916566	0.5632969139463713	2.2438619437941485	0.9882289330487463	1.842266519208944	1.9007319549362263	1.9364248988008856	0.554303927449665	3.6434091113412	1.0238262546898487	2.94994162295133	1.0620779117954076
S230	2.2643622656136184	0.6762989012642788	0.7567013005207971	0.30679033428214353	2.4801165479182905	0.9939854873270046	1.6564558493870103	2.7358392484599823	0.0	1.3379503600003466	1.9176693126610336	1.8480935728598373	0.8554689856600003	0.35764880843722474	1.4144451040520862	2.2520042352796694	2.2210351945358795	1.7323440521592697	2.858235976098477	0.7972609896515649	0.38802037265698885	0.46177420613434256	0.6592409063112152	4.461506949859811	0.9844091978043704	1.6152882559023714	0.32539359537657025	0.2195716971062557	3.122133965142481	3.1927810504924663	2.001509663484199	2.3591232033555807	2.7559671370939656	1.0057099783417296	0.6689311886421668	2.41424234692235	2.4164949176115167	2.6876114669498357	2.483119767186241	2.4679099092100127	0.8513447381538617	2.791658774993494	1.389426331902567	1.908231000395182	2.631209543839323	1.2324945052225222	0.3573723585108078	1.5645021768684948	2.149605772571877	0.7715533569644131	0.8364419822812937	0.7987269205677354	1.1937895920468062	2.4573335166056283	0.959580160152272	2.3847128146215977	1.3730260321891883	1.6387255136692829	1.5446250310553462	2.5582772358247228	3.368002397246681	1.8788597649455083	0.5891183909012511	3.5364601102088997
S272	0.9661174947107556	1.4181925762053866	1.770807013662406	1.45706569868466	1.1669001227702485	0.4816978503869836	0.5720611793549264	1.479348662992086	1.3379503600003466	0.0	0.6985675508478358	0.756964570010611	1.5937016516156153	1.6200481329122176	0.6749582762188232	1.2325651610617068	0.9364223586498892	0.7686891143611697	3.1128904776098785	1.4237206430208753	1.6956220865054712	1.7071736930862305	0.6822857293201503	4.899300343848519	0.3664447719161317	1.0022331468100123	1.6167944248895003	1.1685667633121788	2.3671584012047537	2.147747583223636	0.8766168378709268	1.050913767967119	1.657557149591825	0.3492710473518294	0.9880827482829113	1.079827225434226	1.1102862058838947	1.4262187631461751	1.1527635996533532	1.3513991363677889	0.5245843108141032	1.458745735325599	0.10666204295941355	0.6171654891335276	2.14724089877055	1.3283674748394454	1.0884831101820613	0.8776299089902793	1.7430654165530337	0.5862212214296386	0.6044140689553951	1.0957428247674288	0.9267242556700508	1.139404886924299	0.7911418273961088	1.4951214109418074	0.5458868682910798	0.7926041724704692	1.3971556532842218	1.2246669288802805	3.5401853605906908	0.5415193487676557	1.475167486054973	2.4044538921786396
