	S339	S311	S223	S316	S303	S387	S370	S304	S237	S328	S306	S345	S369	S354	S252	S323	S324	S275	S256	S360	S262	S281	S377	S293	S373	S245	S357	S285	S336	S330	S363	S202	S229	S228	S277	S376	S265	S361	S215	S368	S352	S251	S317	S362	S342	S212	S289	S247	S326	S250	S274	S197	S279	S386	S268	S261	S340	S286	S213	S264	S322	S374	S204	S329	S205	S234	S299	S364	S232	S351
S339	0.0	2.7265106272583	0.7365047963075605	0.8434040198554071	1.579283327836547	4.908440659361199	0.878021540643764	1.5714519308806383	1.4349505790060404	0.4719073338435748	0.6982932545991126	1.9666472220330742	2.3468600219454205	0.864899846581482	2.037039581691921	1.488238644211894	1.5410383052991663	3.5263181499671794	0.5064884800879789	0.19983392835801408	1.018182251429988	1.1432809308034044	1.8065495924567851	1.1257661943070278	1.1884253649713	1.1606289731940467	1.8168612635135608	0.6763720369554775	0.8266513247300151	0.3398086978970644	0.44670273266155414	0.9185516082833886	0.21314220641553538	1.909593866421753	0.3706882956647283	2.458244864211204	0.3863395784477773	0.5259035947943438	0.2912513001051946	0.7107385134328984	1.7249956189174507	0.7037085672657389	0.5426071976257909	0.6080917267110068	1.6655641753265118	1.0966882535553775	3.1115830912743077	0.7785144538972231	0.5132282115411341	0.6449852676023772	2.2365648577874957	2.8059700189648398	2.8886757527619036	4.5904207156717804	1.7545509248940014	1.7062008609727677	1.8896151310228524	1.5634924177851879	1.518104552653824	0.2601421177099297	2.083044890647473	2.232999056850428	0.9197671427562628	0.5955688450427465	0.20363929777204104	2.319862476574992	1.6691688019130368	0.155185863096873	1.9705723026926505	0.4485696114972318
S311	2.7265106272583	0.0	2.740216820145203	1.959119808027214	3.1003871175233657	5.644427388542696	3.4649256100610666	1.6956931686318248	1.9381085598212748	2.965991741304551	2.410053044415573	2.6301662187014143	2.024419495628753	2.1856128706097278	0.7016274520893087	2.8465463919862892	1.1995953713102119	1.4744066608865836	2.7046615074081934	2.669213358994922	2.207042217835281	1.6132691649625044	0.9712207370334326	2.940151002976585	1.5868710615683288	1.588020699550219	1.276477699099025	3.039552730910373	2.58180018697352	3.020617717430538	2.395274766089186	1.8384147663291062	2.5932748483407715	4.300780211848152	3.0425547828532538	2.051995142483578	2.963535305137522	3.1260041300152066	2.4774824032201206	2.05728090273589	1.1130261484646402	3.3288370095961164	2.1934680239907296	3.2149336865871763	1.3014010258947388	3.30121868647832	0.8331023263517744	2.2434736214936075	2.2257661161811013	3.3358304612128125	3.557757061375372	2.41508569888073	1.212761179497999	5.131417511168368	1.055656934653018	2.549124313386476	0.8658743018299645	1.173282438440681	2.886289345809655	2.9850800749954107	1.7727120607918294	0.5664456093900051	1.8964784144179996	3.255834781296363	2.659653961209231	2.3354897035081916	3.6049997442777086	2.571754763507679	4.4009877495828125	2.446389088968613
S223	0.7365047963075605	2.740216820145203	0.0	0.8336665107138499	0.8493836160960646	4.1791433839056324	0.8116563455890969	1.2313711025185672	1.0120622473644016	0.44211073442443566	1.3170580726115884	1.2892322876781979	1.8402028118277323	1.4107413554836978	2.1207837210907297	0.7599917648802933	1.6146068763641988	3.2491926605815618	1.1906005202457635	0.7664596792735544	1.5948248479056069	1.1848934793973946	1.8183949220450872	0.40821450709633156	1.1769862154574706	1.2653228651795372	1.6005235926594192	0.34938005888305024	0.19788007238122096	0.8148729754535223	1.042283618316426	1.0374417295594596	0.5923166232752927	1.6057199512207774	0.8298923859554838	1.9375733718880692	1.0490383892765256	0.6421975281358888	0.7595681949782097	1.1041022574382	1.6514186691191264	0.7461519571778799	0.902543361004418	1.0163796992064573	1.4837834114651658	0.5753114958661016	2.959492722243024	1.3614097939927998	0.7563626771327595	1.1041583755504607	1.5169536019816434	2.2287905515208704	2.599451502265231	3.8546046793520197	1.9104714771850384	1.043175742339659	2.0139962967604688	1.6998327236589306	0.7879579254554449	0.8355489534275936	1.6338959328326925	2.328442895636994	1.305454500424836	1.0437211068794727	0.6782636796003754	1.7251448227517803	1.0441918402585648	0.7457199488725592	1.6837625030040613	0.5059200008871906
S316	0.8434040198554071	1.959119808027214	0.8336665107138499	0.0	1.4802636640191251	4.696945227934778	1.511911964461665	0.7832378866402655	0.7288988511004585	1.017639785321025	0.9600513079040207	1.5008721071126283	1.629815358485236	0.9058557456100044	1.3054870416783633	1.2734213428668655	0.7915104886199849	2.6866228705705035	1.0677089888031088	0.8243903785412647	1.0775545313992176	0.35773724405218915	1.0230250929734668	1.1409021813298177	0.37303131997364447	0.43512860404582665	0.9764575857249975	1.09168002001599	0.7175392418352011	1.1346575463942672	0.7262182746693723	0.23441303700826932	0.6801309246214681	2.4151200523392284	1.159490436378502	1.7375940348927257	1.173981976330831	1.191532319899464	0.6411200169112186	0.5145069209256946	0.9003059028212556	1.3776281053010826	0.4446326247703523	1.3707197092956513	0.8290154483454267	1.4079094449882765	2.281862973275247	0.8773838180740814	0.3510898434611446	1.4712818457858925	2.112088127379607	2.1299710184938463	2.0494942088877512	4.300349151926157	1.0797840074335163	1.261044143657105	1.1883298246818068	0.8707255584948617	1.3155634021422624	1.0974857800858382	1.3225536533657205	1.5100187576123776	0.6283985828311274	1.3989617391746778	0.7834262957169601	1.6867594140893352	1.8394828820197255	0.7053643728763073	2.4978210886603733	0.4943643131587926
S303	1.579283327836547	3.1003871175233657	0.8493836160960646	1.4802636640191251	0.0	3.335974725781418	1.300436588999917	1.42441457335812	1.177435879586683	1.2051429944701733	2.1544299895695715	0.7818363574742447	1.609748189430424	2.2247318899352138	2.59502916637014	0.256075632147796	2.136764997274988	3.2316646200874026	2.036335430172614	1.6109538485577302	2.412226521872969	1.7631977869943256	2.25759442320719	0.4562334003791657	1.722511953523344	1.866067386830076	1.8486772075732987	0.9965164706057097	0.8229475800029113	1.6066155411073522	1.8794721546394904	1.6939307770263503	1.4411138013068088	1.551870018047718	1.615100313142463	1.673915067817732	1.8714832985893053	1.352777487220313	1.6001839881541455	1.8848935785816536	2.0400861539961563	1.3483550215900002	1.700044459041312	1.7540383460221425	1.8076826466139402	0.7391474629026934	3.1151036791588593	2.1837986147659327	1.543984265772177	1.8320837189688788	0.6737656153202256	1.8156648981190164	2.6170344482039267	3.0152964044495723	2.455309171963333	0.667225299482849	2.53238692876193	2.2629828653642834	0.21899381306457832	1.63884847405151	1.5559525338033577	2.7896833005314545	2.0626203443554143	1.784385085033779	1.5227219490140516	1.3446441521245742	0.5769117970241545	1.5922914621731528	1.6240527300400944	1.3021683784239741
S387	4.908440659361199	5.644427388542696	4.1791433839056324	4.696945227934778	3.335974725781418	0.0	4.425314379706452	4.262804687750483	4.112385555171284	4.4972653657847275	5.458614915994109	3.2479398672862985	3.714805065491765	5.506888889993884	5.43397551703983	3.470673609777337	5.132394261960725	4.94259501070902	5.3462460120782875	4.923899574365875	5.695195987941212	4.883110821144488	5.126926438321158	3.7881712168030055	4.812647514480944	4.996811573128041	4.5741567064201725	4.28325570467065	4.141771323008233	4.886555259791193	5.200433262614258	4.899316697640504	4.766815314054913	3.8978464261108874	4.887995800474949	3.648144913138361	5.167332749838772	4.599667719797827	4.915232510352051	5.158692129212005	4.8893149621242	4.541426676701892	4.991696156769405	4.967383194043105	4.6230556644977705	3.9088468972567973	5.270717878058962	5.489002744111138	4.840219737991844	5.048689325145537	2.6991478527570587	3.323968254120068	4.636118776230969	0.5844609582421345	5.437248330730644	3.469260614088374	5.44751862487254	5.278956913143663	3.433839752417965	4.941886942331059	3.950968627002122	5.584569406586195	5.305552663796258	5.007545799331703	4.836695164328194	3.3790969076184996	3.348606822556897	4.92380601242923	3.9266641631250834	4.627048244527337
S370	0.878021540643764	3.4649256100610666	0.8116563455890969	1.511911964461665	1.300436588999917	4.425314379706452	0.0	2.0363772528167594	1.8207191341923754	0.5015442149288545	1.523664813750138	1.974659231198446	2.6230806620801648	1.7145855367204004	2.805910430948104	1.3621814737295552	2.295756165182733	4.0567709846463815	1.2420046781030967	0.9405929452224705	1.8635098026466586	1.8652082258816856	2.5336911859049756	0.9374005953037514	1.8811240376842475	1.9169543541996172	2.389890443832374	0.47142227254442465	1.004666580524972	0.6535730271523945	1.3192540519474776	1.6664089303652476	0.9190888836628741	1.0594979173487113	0.6453724233469086	2.7201819622581436	0.924464685016593	0.39345949396597363	1.0877467534712064	1.5564560347803862	2.3983344349899283	0.17843211122111893	1.360225962839898	0.6835083251814545	2.259388251746324	0.5661047769435507	3.7452519589219113	1.647903225079593	1.2755835002154516	0.6582662722989212	1.8443240959465752	2.975626985179546	3.4076110284082435	4.192650345647706	2.553703559464764	1.7541603365794096	2.6758483842332406	2.3481990486000393	1.3689114530715392	0.7141558384384469	2.439634717212498	3.0119968140495375	1.7709194995033564	0.6636874596358401	0.8998492484097734	2.473308070025677	1.0783932462591599	1.0110079262526055	1.1016524502560066	1.0485445665212167
S304	1.5714519308806383	1.6956931686318248	1.2313711025185672	0.7832378866402655	1.42441457335812	4.262804687750483	2.0363772528167594	0.0	0.2519300551867236	1.5965213978759987	1.7277393852671652	1.0340090996411926	0.8647549224956653	1.6346708187094419	1.2422705502249936	1.1685256957611914	0.8788107381412287	2.020954301123718	1.8476144203052838	1.5644378777867922	1.7875974559288377	0.7276155405754454	0.8926488651636154	1.309203796014184	0.6571731438594193	0.8231489398531253	0.4261101980742783	1.567023307073804	1.0386249964047416	1.8319620658122173	1.5085170528425602	0.8609299955378554	1.3913465618829055	2.7619507315751046	1.8550115055283598	0.9695970645174	1.9268032153604153	1.7988132205176521	1.3990264312716192	1.262876034937504	0.6599494472387762	1.947185076120039	1.2256481669725707	2.063785187729937	0.47164179485227603	1.7245886502436734	1.7503068431539388	1.622493574575522	1.125232254468809	2.171374489085358	1.8953584922580937	1.3801627810552524	1.3721143479551872	3.8071271666123265	1.1764913406897919	0.8832782073789048	1.2222097567504207	1.0441834907251335	1.2074344315063579	1.8042033629387693	0.5442143544691805	1.4097699494069655	1.3013305906523052	2.098937106369301	1.5052905645376582	0.9938294132968407	1.9506799224313143	1.4542006684325417	2.84835948857124	1.1433829742007173
S237	1.4349505790060404	1.9381085598212748	1.0120622473644016	0.7288988511004585	1.177435879586683	4.112385555171284	1.8207191341923754	0.2519300551867236	0.0	1.4023995173767607	1.6841439410039434	0.8656686288136474	0.9230492449430159	1.6248603084415085	1.4544192182269418	0.9222294138846955	1.0435116718895372	2.240417613489143	1.7599446576955393	1.4358072499524501	1.791915238638898	0.7921005070063332	1.1047047683847975	1.060593086290095	0.7282638423653729	0.8982530357685587	0.6763155583597604	1.3506207556528163	0.8165578304006514	1.672358244004305	1.4401634440082878	0.8630881824860784	1.2504860029558411	2.5188668058492145	1.694399264127051	1.0294408837675209	1.7979475807599319	1.6079280306081225	1.288475341140917	1.2395981620729015	0.8781883477429014	1.7431591273625782	1.1618722938776893	1.9020153797941821	0.6735115818840853	1.4824255031408797	1.9972060240204559	1.6037982665963235	1.0376187877718446	2.007325277923764	1.6738673294386115	1.4058835846270743	1.5932396807762839	3.6761016657389356	1.3553337106818173	0.6764219852618545	1.4162529628222154	1.1993224977371035	0.9619481036352878	1.65148219909974	0.6518099743076806	1.6327786069940016	1.3187189154112917	1.9367519654431564	1.367700835234665	0.9591453560214752	1.6992380203455384	1.3339343085192163	2.603670745284325	0.9981908074846717
S328	0.4719073338435748	2.965991741304551	0.44211073442443566	1.017639785321025	1.2051429944701733	4.4972653657847275	0.5015442149288545	1.5965213978759987	1.4023995173767607	0.0	1.1251655247077474	1.7274182554292123	2.267283440014832	1.2836779077849916	2.3059031265387535	1.1704382387687786	1.798978755572019	3.6129423490837693	0.9053967555997774	0.5152454288636235	1.4501536412632912	1.3694496261182627	2.0403955137491883	0.762761700707588	1.3848049923088088	1.4233890590731455	1.9230032531689656	0.2468992571503769	0.6190191436853157	0.4024141646669276	0.8875502997763961	1.1755606994100498	0.4391810238502051	1.4755460581599007	0.41286369304899756	2.367514235565075	0.6756479133593836	0.2102579061611772	0.6200052784309206	1.0787123786755979	1.9098214316564055	0.37014279470859174	0.8755725220583843	0.5942228470367451	1.7792184396260107	0.6408548626978441	3.2716526073049708	1.225379807879006	0.7815680928872574	0.6634677165967194	1.8474238078626701	2.6686716231196046	2.963109764683396	4.206927988982283	2.0611091277560516	1.4838416849396265	2.176292791638846	1.848864550577343	1.1921251730184201	0.45505082406353564	2.0429487764989345	2.5141964107329446	1.293877081190894	0.6081493417634699	0.4490326481116072	2.1657237237031537	1.2154031965670793	0.5659336686356881	1.5445902741531161	0.5737349227964562
